name,taxon
Alveolata,33630
Amoebozoa,554915
Embryophyta,3193
Eutheria,9347
Glires,314147
Liliopsida,4447
Lophotrochozoa,1206795
Metatheria,9263
Sauropsida,8457
Stramenopiles,33634
Tetrapoda,32523
Vertebrata,7742
eudicotyledons,71240
Aconoidasida,422676
Agaricomycetes,155619
Anthozoa,6101
Arachnida,6854
Aves,8782
Chlorophyceae,3166
Chromadorea,119089
Dothideomycetes,147541
Eumycetozoa,142796
Eurotiomycetes,147545
Insecta,50557
Leotiomycetes,147548
Mammalia,40674
Microbotryomycetes,162481
Oomycota,4762
Pucciniomycetes,162484
Saccharomycetes,4891
Sordariomycetes,147550
Trebouxiophyceae,75966
Tremellomycetes,155616
Ustilaginomycetes,5257
Holometabola,33392
Ajellomycetaceae,299071
Arthrodermataceae,34384
Clavicipitaceae,34397
Cordycipitaceae,474943
Culicidae,7157
Debaryomycetaceae,766764
Drosophilidae,7214
Formicidae,36668
Hominidae,9604
Hypocreaceae,5129
Mycosphaerellaceae,93133
Nectriaceae,110618
Ophiocordycipitaceae,474942
Phaffomycetaceae,115784
Pichiaceae,1156497
Pleosporaceae,28556
Polyporaceae,5317
Pseudeurotiaceae,34379
Rosaceae,3745
Saccharomycetaceae,4893
Saccharomycodaceae,34365
Saprolegniaceae,4764
Sarcocystidae,5809
Theileriidae,27994
Trichocomaceae,28568
Anopheles,7164
Aspergillus,5052
Babesia,5864
Candida,1535326
Cryptococcus,5206
Cryptosporidium,5806
Drosophila,7215
Eimeria,5800
Exophiala,5583
Glossina,7393
Kwoniella,490731
Lachancea,300275
Leishmania,5658
Metarhizium,5529
Nicotiana,4085
Penicillium,5073
Phytophthora,4783
Plasmodium,5820
Trypanosoma,5690
Aculeata,7434
Cetacea,9721
Fungi,4751
Metazoa,33208
Viridiplantae,33090
Protista,199999999
Agaricales,5338
Araneae,6893
Artiodactyla,91561
Boletales,68889
Brassicales,3699
Capnodiales,134362
Carnivora,33554
Chaetothyriales,34395
Cichliformes,1489911
Coleoptera,7041
Cyprinodontiformes,28738
Diptera,7147
Eulipotyphla,9362
Eurotiales,5042
Fabales,72025
Falconiformes,8948
Glomerellales,1028384
Gruiformes,9108
Helotiales,5178
Hemiptera,7524
Hymenoptera,7399
Hypocreales,5125
Lamiales,4143
Lepidoptera,7088
Malpighiales,3646
Malvales,41938
Mamiellales,13792
Mucorales,4827
Onygenales,33183
Passeriformes,9126
Pelecaniformes,9205
Piroplasmida,5863
Pleosporales,92860
Poales,38820
Polyporales,5303
Primates,9443
Rodentia,9989
Rosales,3744
Solanales,4069
Sordariales,5139
Sporidiobolales,231213
Squamata,8509
Xylariales,37989
Apicomplexa,5794
Arthropoda,6656
Ascomycota,4890
Bacillariophyta,2836
Basidiomycota,5204
Chlorophyta,3041
Chytridiomycota,4761
Ciliophora,5878
Cnidaria,6073
Euglenozoa,33682
Microsporidia,6029
Mollusca,6447
Mucoromycota,1913637
Nematoda,6231
Rhodophyta,2763
Acari,6933
Coccidia,5796
Leishmaniinae,1286322
Brachycera,7203
Nematocera,7148
Polyphaga,41084
Crustacea,6657
Hexapoda,6960
Actinopterygii,7898
Apoidea,34735
Cercopithecoidea,314294
Hominoidea,314295
Papilionoidea,37572
Euarchontoglires,314146
Galloanserae,1549675
Laurasiatheria,314145